NUMNODES 15
0   252.64
1    41.92
2    95.65
3   132.48
4   297.03
5   113.37
6    71.39
7   216.75
8   260.25
9   321.34
10   410.88
11    24.38
12   184.46
13    25.00
14   338.04
ADJACENCYMATRIX 15 222
0 999999.99     0.00
1    63.28     5.76
2    89.56     6.15
3    17.65     5.55
4    53.18     3.23
5    67.24     0.08
6    57.42     1.27
7    43.26     3.73
8    80.07     8.28
9    22.47     9.79
10    56.77     9.69
11    48.50     9.92
12    17.29     3.20
13    50.62     5.23
14    64.65     8.91
15    55.32     7.82
16 999999.99     0.00
17     9.59     6.43
18    87.89     3.72
19    82.12     1.38
20    85.01     6.27
21     6.54     1.39
22    84.98     8.65
23    38.21     0.47
24     3.21     7.32
25    40.98     8.02
26    11.85     2.83
27    33.63     0.78
28    54.87     5.31
29    24.72     1.81
30    87.58     8.23
31    99.15     2.42
32 999999.99     0.00
33    89.01     6.51
34    39.29     7.23
35    43.28     6.98
36    69.47     0.19
37    49.46     0.04
38    95.21     0.42
39    25.00     7.75
40    76.76     7.86
41    18.34     2.69
42    10.37     0.62
43    94.00     2.77
44    52.08     8.51
45    44.73     9.93
46    81.70     4.03
47    69.27     5.39
48 999999.99     0.00
49    78.96     6.88
50    41.02     4.40
51    86.78     2.03
52    46.52     2.57
53    23.18     6.83
54    79.87     1.27
55    18.95     1.87
56    38.31     4.10
57    75.12     0.71
58    92.47     8.09
59    76.96     8.09
60    74.52     2.63
61    38.05     0.03
62     4.81     1.27
63     6.25     5.38
64 999999.99     0.00
65    81.14     0.18
66    48.25     6.00
67    77.44     3.42
68     5.30     6.39
69    38.90     6.50
70    83.51     9.89
71    95.16     1.01
72    91.28     9.09
73    31.16     0.09
74     1.49     0.20
75    22.65     0.50
76    31.73     4.76
77    86.23     5.83
78     0.00     0.00
79    28.96     7.30
80 999999.99     0.00
81    63.63     9.51
82    59.65     9.63
83    91.48     4.00
84    69.69     3.81
85    34.01     6.46
86    92.07     2.73
87    29.56     4.00
88     1.51     8.47
89    36.80     8.72
90    62.58     5.60
91     3.09     4.13
92    60.87     3.03
93    66.04     3.12
94    36.46     8.09
95    74.72     1.09
96 999999.99     0.00
97    96.02     7.22
98     6.01     3.44
99    57.56     1.33
100    89.98     9.86
101     7.20     5.55
102    20.55     7.73
103     0.00     0.00
104    74.90     4.23
105    15.93     3.11
106    81.35     0.40
107    60.37     2.16
108    19.27     0.36
109    82.59     8.48
110    95.63     7.00
111    35.39     0.46
112 999999.99     0.00
113    89.54     3.65
114    34.89     9.90
115    90.91     6.43
116    26.48     6.27
117    55.55     2.79
118    96.60     8.09
119    75.91     2.59
120    56.00     8.47
121    99.15     7.11
122    24.45     1.89
123    45.69     5.61
124    66.12     8.20
125    11.50     8.04
126    59.32     3.52
127    91.55     1.62
128 999999.99     0.00
129    32.20     5.86
130     3.23     9.56
131    35.51     2.50
132    36.14     5.16
133    15.72     6.11
134    56.17     6.02
135    63.26     7.82
136     6.70     7.13
137    66.90     0.70
138     7.25     2.28
139    52.54     2.09
140    56.04     0.28
141    30.98     6.23
142    44.12     4.52
143    56.55     2.07
144 999999.99     0.00
145    25.87     6.43
146    58.97     4.77
147    95.18     3.73
148    64.21     2.81
149    95.02     1.13
150    22.10     6.48
151    30.85     3.67
152    95.79     3.74
153    79.53     8.72
154    83.43     2.51
155    57.85     4.53
156    21.77     6.38
157    64.97     4.54
158     2.80     6.47
159     7.70     9.32
160 999999.99     0.00
161    26.45     2.16
162    34.67     3.46
163    78.68     4.01
164    29.79     3.43
165    17.56     9.89
166    95.79     0.94
167     3.89     3.43
168    91.62     3.18
169    21.51     9.62
170    34.60     5.94
171    58.03     9.96
172    62.75     6.05
173    18.28     0.25
174     9.03     9.27
175    26.37     9.65
176 999999.99     0.00
177    78.99     2.83
178    29.17     2.86
179    30.89     5.66
180    11.54     2.87
181    51.37     9.60
182    47.79     1.10
183    30.18     3.57
184    42.73     5.44
185    33.49     4.21
186    50.97     2.11
187     7.17     8.22
188    35.73     2.38
189    11.69     5.21
190    46.91     9.89
191    37.11     6.86
192 999999.99     0.00
193    57.79     9.97
194    98.18     3.28
195    71.89     8.25
196    37.24     2.39
197    55.52     1.41
198    97.43     2.70
199    19.30     2.42
200    67.45     9.34
201    54.46     4.43
202    25.90     0.54
203    52.15     0.75
204    37.43     5.76
205    23.11     4.54
206    97.65     6.23
207    42.77     1.02
208 999999.99     0.00
209    99.53     5.61
210    43.90     1.85
211    38.10     7.27
212    71.47     2.41
213    12.25     9.13
214     9.47     9.20
215    76.69     8.97
216    44.53     6.31
217    56.83     2.06
218    38.62     4.39
219    74.72     9.31
220    95.18     7.59
221    23.64     5.43
222    28.20     0.80
223     0.00     0.00
224 999999.99     0.00
